loan_loanIDX, loanPayDate, loanPayAmount
"30047661571375135825", "2017-6-19", 157
"30047661571375135825", "2018-10-1", 16
"02010608592294943048", "2020-11-1", 94
"02010608592294943048", "2017-11-14", 22
"88534672159484595074", "2020-1-22", 67
"57744940927065965755", "2017-3-4", 119
"57744940927065965755", "2020-1-24", 108
"57744940927065965755", "2020-3-15", 96
"94031390501824797086", "2017-8-7", 147
"94031390501824797086", "2020-12-2", 34
"35002917383392076915", "2018-3-6", 56
"35002917383392076915", "2020-10-12", 96
"67360010789356033304", "2017-12-21", 26
"29717202120623968877", "2018-10-19", 59
"77300472252227916728", "2019-10-25", 199
"71475582420820989488", "2017-5-8", 48
"71475582420820989488", "2020-12-18", 59
"71475582420820989488", "2017-4-11", 113
"65206279115077808965", "2019-7-14", 175
"65206279115077808965", "2019-3-27", 25
"25975800884096974842", "2020-10-12", 186
"25975800884096974842", "2020-2-18", 50
"98704136142496112727", "2019-6-4", 65
"34923717982868089552", "2018-8-2", 150
"08038987516752137602", "2017-7-3", 15
"08038987516752137602", "2020-2-14", 55
"08038987516752137602", "2020-7-8", 75
"12396357682634464608", "2020-6-3", 68
"12031904826746118720", "2019-9-20", 158
"12031904826746118720", "2020-10-21", 50
"19889431165672189515", "2019-9-16", 166
"90590825464907205098", "2017-12-8", 32
"90590825464907205098", "2020-5-5", 58
"90590825464907205098", "2017-12-15", 174
"13789280325881479407", "2019-6-11", 82
"13789280325881479407", "2018-11-11", 101
"75377212380825493412", "2018-1-14", 103
"75377212380825493412", "2020-5-6", 164
"79839882340338065826", "2020-12-17", 45
"36855537447329605568", "2017-9-6", 88
"60297539698416713225", "2020-9-20", 197
"60297539698416713225", "2020-7-8", 42
"60297539698416713225", "2017-12-23", 134
"69606915164832865987", "2017-10-14", 189
"44277302021812596245", "2018-3-1", 83
"44277302021812596245", "2018-3-25", 57
"02711590384214776923", "2017-6-8", 56
"02711590384214776923", "2018-9-14", 33
"38479793191822535598", "2019-11-19", 195
"38479793191822535598", "2017-5-11", 46
"80633156920722596738", "2020-6-21", 47
"53542924612990877662", "2017-7-18", 191
"53542924612990877662", "2020-10-14", 72
"90563825686090693447", "2018-2-21", 167
"84337664332312262111", "2017-9-27", 19
