loan_loanIDX, loanPayDate, loanPayAmount
"10412487778604609254", "2012-1-18", 95000
"91535286412349557283", "2017-10-26", 24000
"48123423011858494524", "2017-1-17", 40800
"48123423011858494524", "2010-4-15", 27200
"06561683790324583160", "2016-8-18", 30000
"06561683790324583160", "2011-4-9", 24000
"06561683790324583160", "2013-6-8", 6000
"48265698041641324279", "2017-1-13", 56700
"48265698041641324279", "2016-6-18", 6300
"57595328622769998201", "2012-2-18", 48000
"57595328622769998201", "2010-6-23", 12000
"83324268124465301908", "2011-11-11", 1400
"83324268124465301908", "2010-8-1", 2100
"11951651586203307705", "2010-7-21", 19200
"11951651586203307705", "2015-8-21", 25600
"09244598013278326146", "2014-1-22", 1500
"09244598013278326146", "2014-7-22", 1500
"73114493408301009438", "2010-9-4", 22800
"73114493408301009438", "2011-8-26", 11400
"73114493408301009438", "2016-3-7", 3800
"23709156327645269364", "2016-10-10", 28500
"63578579835822005017", "2011-11-14", 79200
"63578579835822005017", "2014-11-2", 9900
"34494357799461229200", "2011-6-3", 6400
"34494357799461229200", "2011-1-3", 12800
"34494357799461229200", "2011-8-15", 12800
"41264714869964364369", "2011-6-3", 63700
"41264714869964364369", "2014-4-5", 27300
"98258541671778956566", "2015-8-18", 8800
"19092462419857622481", "2013-10-17", 20700
"19092462419857622481", "2014-4-3", 2300
"60854079531047364392", "2012-7-1", 12600
"60854079531047364392", "2014-4-11", 8400
"15514837855087520156", "2016-10-12", 4600
"15514837855087520156", "2012-6-2", 32200
"15514837855087520156", "2010-10-15", 9200
"80762002901707376280", "2015-7-24", 9900
"52070403643967381828", "2013-7-7", 10500
"52070403643967381828", "2011-3-20", 4500
"50103414387025667891", "2013-4-15", 2800
"50103414387025667891", "2011-1-10", 800
"50103414387025667891", "2016-8-12", 400
"70317454440403734017", "2010-6-20", 72800
"70317454440403734017", "2017-11-16", 18200
"78808321411637885864", "2012-11-4", 77000
"06545237049054140041", "2014-5-10", 10500
"74098980152551775128", "2010-7-14", 10000
"87263433515273516317", "2017-3-17", 67900
"87263433515273516317", "2015-6-6", 29100
"19208774225258544890", "2014-1-12", 42400
"19208774225258544890", "2012-10-18", 10600
"16822291899929410952", "2014-6-19", 60300
"16822291899929410952", "2011-3-13", 6700
"75707215195309624672", "2012-9-27", 6300
"38944311983317645196", "2013-2-3", 57400
"38944311983317645196", "2016-5-3", 24600
"81356782948599154917", "2015-4-12", 37600
"96839562132433523109", "2010-4-1", 66400
"96839562132433523109", "2017-6-14", 16600
"24858620856874846157", "2015-3-5", 32000
"39666559149913988935", "2016-5-25", 2200
"39666559149913988935", "2017-1-7", 8800
"59762944374860437172", "2010-3-26", 60000
"77573934480628739474", "2010-4-19", 63700
"20736517840418037423", "2012-1-14", 21900
"20736517840418037423", "2012-11-16", 7300
"20736517840418037423", "2013-6-7", 14600
"96853446921230004444", "2011-6-5", 49200
"96853446921230004444", "2017-2-24", 24600
"76364115880317036747", "2017-3-1", 6000
"76364115880317036747", "2015-2-8", 4000
"83790143373671030523", "2010-10-20", 40600
"83790143373671030523", "2011-5-23", 17400
"11363691974634553086", "2014-8-25", 6000
"80892680416641291533", "2012-5-3", 5400
"51046091781357575907", "2015-10-25", 17400
"51046091781357575907", "2013-10-16", 2900
"51046091781357575907", "2015-5-22", 8700
